Time(s) Residual_Strain
0.00000000e+00 2.16609622e-40
4.00080016e-05 4.17538380e-27
8.00160032e-05 8.34370681e-27
1.20024005e-04 1.24811819e-26
1.60032006e-04 1.65641022e-26
2.00040008e-04 2.05689771e-26
2.40048010e-04 2.44726665e-26
2.80056011e-04 2.82525141e-26
3.20064013e-04 3.18864789e-26
3.60072014e-04 3.53532631e-26
4.00080016e-04 3.86324361e-26
4.40088018e-04 4.17045551e-26
4.80096019e-04 4.45512793e-26
5.20104021e-04 4.71554793e-26
5.60112022e-04 4.95013392e-26
6.00120024e-04 5.15744523e-26
6.40128026e-04 5.33619088e-26
6.80136027e-04 5.48523752e-26
7.20144029e-04 5.60361655e-26
7.60152030e-04 5.69053029e-26
8.00160032e-04 5.74535720e-26
8.40168034e-04 5.76765615e-26
8.80176035e-04 5.75716963e-26
9.20184037e-04 5.71382599e-26
9.60192038e-04 5.63774055e-26
1.00020004e-03 5.52921576e-26
1.04020804e-03 5.38874012e-26
1.08021604e-03 5.21698626e-26
1.12022404e-03 5.01480776e-26
1.16023205e-03 4.78323504e-26
1.20024005e-03 4.52347019e-26
1.24024805e-03 4.23688083e-26
1.28025605e-03 3.92499295e-26
1.32026405e-03 3.58948283e-26
1.36027205e-03 3.23216815e-26
1.40028006e-03 2.85499815e-26
1.44028806e-03 2.46004304e-26
1.48029606e-03 2.04948271e-26
1.52030406e-03 1.62559476e-26
1.56031206e-03 1.19074184e-26
1.60032006e-03 7.47358619e-27
1.64032807e-03 2.97938110e-27
1.68033607e-03 -1.54982248e-27
1.72034407e-03 -6.08834903e-27
1.76035207e-03 -1.06103669e-26
1.80036007e-03 -1.50900351e-26
1.84036807e-03 -1.95016503e-26
1.88037608e-03 -2.38197940e-26
1.92038408e-03 -2.80194788e-26
1.96039208e-03 -3.20762922e-26
2.00040008e-03 -3.59665380e-26
2.04040808e-03 -3.96673747e-26
2.08041608e-03 -4.31569488e-26
2.12042408e-03 -4.64145232e-26
2.16043209e-03 -4.94206000e-26
2.20044009e-03 -5.21570370e-26
2.24044809e-03 -5.46071558e-26
2.28045609e-03 -5.67558434e-26
2.32046409e-03 -5.85896440e-26
2.36047209e-03 -6.00968430e-26
2.40048010e-03 -6.12675402e-26
2.44048810e-03 -6.20937138e-26
2.48049610e-03 -6.25692737e-26
2.52050410e-03 -6.26901037e-26
2.56051210e-03 -6.24540929e-26
